Region,Suburb,Value,Date,Measure,Date_period,Date_quarter,Date_dt,PropertyType
,Port Melbourne,280.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Prahran-Windsor,150.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Richmond-Burnley,140.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,South Melbourne,170.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,South Yarra,170.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Southbank,285.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,St Kilda,160.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Toorak,170.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Group Total,160.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
Inner Eastern Melbourne,Balwyn,145.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Blackburn,123.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Box Hill,125.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Bulleen-Templestowe-Doncaster,125.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Burwood-Ashburton,165.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Camberwell-Glen Iris,135.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Canterbury-Surrey Hills-Mont Albert,,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Chadstone-Oakleigh,115.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Clayton,165.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Doncaster East-Donvale,130.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,East Hawthorn,140.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Glen Waverley-Mulgrave,140.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Hawthorn,145.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Kew,165.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Mount Waverley,123.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Nunawading-Mitcham,118.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Vermont-Forest Hill-Burwood East,125.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
,Group Total,140.0,Mar 2000,Median,2000Q1,2000Q1,2000-03-31 23:59:59.999999999,1 bedroom flat
